type,algorithm,n,time_us,char_comparisons
nearly,msd_radix,2400,487.33,11578
nearly,msd_radix_quick,2400,246.25,22021
nearly,std_quicksort,2500,317.58,157213
nearly,std_mergesort,2500,1968.83,29111
nearly,string_quicksort,2500,79.25,33733
nearly,string_mergesort_lcp,2500,2082.08,10657
nearly,msd_radix,2500,527.00,12050
nearly,msd_radix_quick,2500,264.88,22919
nearly,std_quicksort,2600,334.33,164786
nearly,std_mergesort,2600,1987.58,30670
nearly,string_quicksort,2600,89.75,37569
nearly,string_mergesort_lcp,2600,2239.50,11072
nearly,msd_radix,2600,540.21,12536
nearly,msd_radix_quick,2600,273.08,23983
nearly,std_quicksort,2700,284.62,146823
nearly,std_mergesort,2700,2157.38,31536
nearly,string_quicksort,2700,91.62,38382
nearly,string_mergesort_lcp,2700,2256.83,11548
nearly,msd_radix,2700,573.25,13016
nearly,msd_radix_quick,2700,284.96,24963
nearly,std_quicksort,2800,311.04,159218
nearly,std_mergesort,2800,2159.54,32228
nearly,string_quicksort,2800,97.38,41096
nearly,string_mergesort_lcp,2800,2457.75,11865
nearly,msd_radix,2800,576.75,13502
nearly,msd_radix_quick,2800,306.12,25848
nearly,std_quicksort,2900,320.21,152635
nearly,std_mergesort,2900,2274.96,33652
nearly,string_quicksort,2900,106.00,45492
nearly,string_mergesort_lcp,2900,2437.38,12373
nearly,msd_radix,2900,609.08,14004
nearly,msd_radix_quick,2900,296.54,26861
nearly,std_quicksort,3000,390.46,202384
nearly,std_mergesort,3000,2400.12,34841
nearly,string_quicksort,3000,98.83,42073
nearly,string_mergesort_lcp,3000,2607.96,12837
nearly,msd_radix,3000,560.79,14480
nearly,msd_radix_quick,3000,271.54,27772
